Year,Quarter,GMR (Greater Metropolitan Region),Greater Sydney,Rings,Local Government Areas (LGAs),DwellingType,"First Quartile Sales Price
$'000s000","Median Sales Price
$'000s000","Third Quartile Sales Price
'000s000","Mean Sales Price
$'000s000","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Blacktown,Strata,460000,538000,600000,533000,104,-2.27%,-5.70%,-45.83%,-56.85%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Blue Mountains,Total,550000,630000,731000,646000,208,-7.35%,-7.35%,-22.68%,-37.35%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Blue Mountains,Non Strata,560000,630000,743000,650000,199,-7.35%,-8.20%,-23.75%,-36.62%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Blue Mountains,Strata,0,0,0,0,0,0,0,0,0
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Burwood,Total,706000,1040000,1493000,1137000,72,22.35%,10.73%,-17.24%,-47.83%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Burwood,Non Strata,1198000,1500000,1798000,1515000,35,1.69%,-5.96%,16.67%,-18.60%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Burwood,Strata,600000,750000,930000,779000,37,-3.35%,-14.09%,-35.09%,-61.05%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Camden,Total,645000,705000,797000,726000,250,-1.61%,-5.37%,-23.31%,-35.23%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Camden,Non Strata,650000,720000,803000,739000,233,-0.69%,-4.95%,-24.84%,-35.46%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Camden,Strata,479000,540000,620000,552000,20,-14.62%,-6.25%,6.25%,-32.00%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Campbelltown,Total,505000,575000,640000,571000,321,-0.86%,-8.73%,-34.09%,-44.37%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Campbelltown,Non Strata,530000,600000,655000,603000,262,-2.44%,-8.40%,-32.12%,-41.65%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Campbelltown,Strata,396000,429000,483000,431000,59,-5.71%,-11.55%,-41.58%,-53.91%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Canada Bay,Total,800000,990000,1450000,1194000,193,-13.91%,-19.25%,-34.13%,-42.39%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Canada Bay,Non Strata,1455000,1705000,2138000,1873000,54,-7.84%,-16.83%,-43.16%,-56.10%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Canada Bay,Strata,750000,880000,1030000,930000,139,-7.73%,-7.85%,-29.80%,-34.43%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Canterbury-Bankstown,Total,580000,750000,902000,762000,518,-5.81%,-11.76%,-33.42%,-52.48%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Canterbury-Bankstown,Non Strata,784000,870000,1010000,914000,308,-5.95%,-15.94%,-31.71%,-52.17%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Canterbury-Bankstown,Strata,446000,530000,629000,540000,210,-6.19%,-9.72%,-35.78%,-52.91%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Central Coast,Total,490000,599000,759000,640000,1058,-3.46%,-6.41%,-19.11%,-37.02%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Central Coast,Non Strata,525000,630000,800000,676000,825,-3.08%,-5.26%,-20.52%,-38.43%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Central Coast,Strata,410000,495000,590000,513000,233,-1.98%,-1.98%,-13.70%,-31.47%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Cessnock,Total,314000,380000,470000,421000,215,-0.98%,2.70%,-25.35%,-35.44%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Cessnock,Non Strata,330000,400000,491000,437000,192,-0.31%,3.90%,-23.81%,-34.69%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Cessnock,Strata,265000,292000,314000,293000,20,4.29%,3.55%,-36.11%,-41.03%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Cumberland,Total,550000,678000,800000,689000,312,-0.88%,-5.83%,-32.61%,-56.67%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Cumberland,Non Strata,731000,800000,885000,823000,165,-4.65%,-12.09%,-27.95%,-51.61%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Cumberland,Strata,480000,550000,590000,538000,147,-2.65%,-7.56%,-37.18%,-61.21%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Fairfield,Total,564000,695000,783000,680000,195,-1.84%,-9.74%,-42.14%,-54.76%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Fairfield,Non Strata,666000,730000,825000,749000,150,-5.19%,-9.32%,-38.52%,-56.01%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Fairfield,Strata,410000,450000,500000,449000,45,2.27%,-1.64%,-51.61%,-50.00%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Georges River,Total,711000,930000,1200000,1016000,246,3.45%,-1.69%,-40.00%,-48.10%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Georges River,Non Strata,1000000,1178000,1487000,1266000,136,-7.68%,-17.37%,-32.00%,-39.82%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Georges River,Strata,630000,695000,793000,708000,110,0.72%,-0.71%,-47.62%,-55.65%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Hawkesbury,Total,605000,706000,999000,846000,118,-0.18%,-10.60%,-36.56%,-44.08%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Hawkesbury,Non Strata,650000,770000,1050000,917000,99,1.32%,-8.06%,-37.34%,-45.60%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Hawkesbury,Strata,430000,495000,521000,475000,20,-2.17%,-3.88%,-32.14%,-34.48%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Hornsby,Total,796000,1025000,1300000,1060000,288,-1.91%,-14.58%,-24.01%,-44.62%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Hornsby,Non Strata,1001000,1193000,1400000,1220000,198,-4.60%,-13.59%,-15.38%,-40.90%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Hornsby,Strata,620000,670000,815000,709000,90,-0.15%,-1.47%,-37.93%,-51.35%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Hunters Hill,Total,889000,1651000,2875000,1982000,20,-4.84%,-7.25%,-25.00%,-40.00%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Hunters Hill,Non Strata,2190000,2875000,3625000,2994000,20,16.75%,4.53%,-25.00%,-37.50%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Hunters Hill,Strata,670000,877000,1293000,970000,20,-25.36%,1.45%,-25.00%,-42.31%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Inner West,Total,750000,1100000,1400000,1130000,433,-6.78%,-14.40%,-31.60%,-43.03%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Inner West,Non Strata,1191000,1371000,1624000,1437000,232,-6.35%,-10.68%,-28.62%,-46.79%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Inner West,Strata,630000,735000,870000,776000,201,-2.33%,-7.72%,-34.74%,-37.96%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Kiama,Total,758000,833000,982000,912000,73,2.46%,-10.24%,-10.98%,-33.64%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Kiama,Non Strata,780000,850000,1000000,937000,57,-5.56%,-13.40%,-6.56%,-33.72%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Kiama,Strata,521000,730000,870000,822000,20,13.09%,16.80%,-23.81%,-33.33%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Ku-Ring-Gai,Total,1094000,1645000,2208000,1722000,288,-3.24%,-5.41%,-20.44%,-41.46%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Ku-Ring-Gai,Non Strata,1674000,2050000,2489000,2164000,180,-2.65%,-3.30%,-19.64%,-41.75%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Ku-Ring-Gai,Strata,769000,905000,1161000,985000,108,-4.23%,-1.63%,-21.74%,-40.98%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Lake Macquarie,Total,480000,577000,690000,599000,646,4.91%,1.23%,-18.33%,-33.81%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Lake Macquarie,Non Strata,500000,585000,702000,612000,571,1.39%,-1.68%,-17.96%,-32.74%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Lake Macquarie,Strata,409000,450000,574000,493000,75,1.35%,2.04%,-21.05%,-40.94%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Lane Cove,Total,685000,828000,1555000,1287000,133,-11.02%,-28.04%,-17.39%,-45.49%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Lane Cove,Non Strata,2091000,2650000,3079000,2589000,36,20.45%,-4.68%,-34.55%,-63.27%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Lane Cove,Strata,655000,745000,867000,804000,97,-0.67%,-6.87%,-8.49%,-33.56%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Liverpool,Total,585000,700000,810000,698000,285,0.00%,-3.61%,-29.46%,-52.02%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Liverpool,Non Strata,675000,750000,838000,769000,215,-2.60%,-8.54%,-26.12%,-46.12%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Liverpool,Strata,400000,492000,560000,481000,70,-2.67%,-6.20%,-38.05%,-64.10%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Maitland,Total,405000,465000,570000,497000,321,-1.06%,3.56%,-17.90%,-30.37%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Maitland,Non Strata,420000,480000,578000,512000,291,0.31%,4.12%,-19.61%,-29.37%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Maitland,Strata,306000,338000,383000,352000,20,-7.53%,-3.57%,3.45%,-38.78%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Mosman,Total,843000,1374000,2875000,2206000,106,-30.54%,-18.00%,10.42%,-36.90%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Mosman,Non Strata,2875000,3675000,5375000,4358000,36,-9.93%,-9.26%,-18.18%,-40.00%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Mosman,Strata,751000,900000,1372000,1099000,70,-13.04%,-19.82%,34.62%,-35.19%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Newcastle,Total,488000,590000,705000,622000,611,-2.88%,0.00%,-13.09%,-28.70%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Newcastle,Non Strata,520000,610000,740000,657000,457,-3.17%,-2.40%,-11.09%,-23.45%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Newcastle,Strata,425000,483000,619000,521000,154,-12.27%,-4.93%,-18.52%,-40.77%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,North Sydney,Total,855000,1173000,1718000,1460000,276,-2.82%,-2.29%,-12.10%,-27.94%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,North Sydney,Non Strata,1720000,2278000,3138000,2642000,42,-8.90%,-13.89%,-6.67%,-22.22%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,North Sydney,Strata,821000,1070000,1460000,1247000,234,-4.04%,-5.31%,-13.01%,-28.88%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Northern Beaches,Total,880000,1330000,1741000,1417000,672,-1.54%,-12.73%,-23.38%,-41.57%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Northern Beaches,Non Strata,1400000,1650000,2131000,1837000,360,-5.58%,-7.30%,-18.18%,-42.22%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Northern Beaches,Strata,715000,860000,1075000,932000,312,-1.15%,-8.02%,-28.60%,-40.80%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Parramatta,Total,630000,770000,1029000,906000,454,-1.28%,-1.28%,-32.24%,-56.97%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Parramatta,Non Strata,938000,1123000,1403000,1281000,184,-1.54%,-13.65%,-26.69%,-40.07%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Parramatta,Strata,560000,653000,746000,650000,270,-1.58%,-7.84%,-35.56%,-63.90%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Penrith,Total,542000,630000,710000,639000,460,-3.08%,-4.55%,-24.96%,-43.83%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Penrith,Non Strata,610000,660000,740000,688000,355,-3.65%,-7.04%,-21.29%,-37.72%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Penrith,Strata,425000,490000,530000,476000,105,-4.58%,-5.77%,-35.19%,-57.83%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Port Stephens,Total,415000,505000,630000,528000,260,-4.54%,-1.94%,-20.97%,-39.39%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Port Stephens,Non Strata,437000,549000,650000,558000,210,-2.83%,-1.96%,-18.29%,-36.56%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Port Stephens,Strata,298000,401000,468000,402000,50,-9.44%,-2.91%,-30.56%,-48.98%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Randwick,Total,825000,1090000,1620000,1319000,245,-18.96%,-25.21%,-29.19%,-46.74%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Randwick,Non Strata,1588000,1845000,2448000,2025000,88,-16.14%,-22.96%,-34.81%,-55.10%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Randwick,Strata,750000,862000,1050000,923000,157,-4.75%,-9.14%,-25.59%,-40.53%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Ryde,Total,650000,860000,1350000,1003000,261,-20.37%,-17.70%,-38.88%,-43.14%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Ryde,Non Strata,1329000,1435000,1641000,1498000,90,-12.04%,-18.23%,-38.36%,-50.82%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Ryde,Strata,590000,700000,850000,742000,171,-13.04%,-8.68%,-39.15%,-38.04%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Shellharbour,Total,550000,612000,720000,637000,185,-3.62%,-2.86%,-24.49%,-37.29%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Shellharbour,Non Strata,565000,635000,754000,667000,144,-3.64%,-3.05%,-27.64%,-38.72%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Shellharbour,Strata,462000,520000,575000,533000,41,1.96%,-1.33%,-10.87%,-31.67%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Strathfield,Total,590000,655000,1162000,924000,68,-2.96%,-6.43%,-39.29%,-59.52%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Strathfield,Non Strata,1198000,1425000,1920000,1552000,20,-32.46%,-34.86%,0.00%,-47.62%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Strathfield,Strata,550000,628000,658000,623000,46,-3.75%,-7.38%,-48.89%,-63.49%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Sutherland Shire,Total,735000,950000,1220000,1409000,557,-5.00%,-11.63%,-32.40%,-40.24%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Sutherland Shire,Non Strata,940000,1080000,1351000,1187000,292,-8.47%,-18.80%,-33.49%,-42.52%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Sutherland Shire,Strata,615000,745000,940000,1654000,265,-2.61%,0.00%,-31.17%,-37.50%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Sydney,Total,708000,955000,1250000,1072000,655,0.53%,-7.06%,-25.06%,-39.24%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Sydney,Non Strata,1150000,1411000,1800000,1516000,124,-7.20%,-15.79%,-8.82%,-34.39%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Sydney,Strata,675000,850000,1125000,968000,531,-4.17%,-5.56%,-28.05%,-40.27%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,The Hills Shire,Total,923000,1120000,1350000,1198000,297,-3.86%,-10.40%,-25.56%,-42.22%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,The Hills Shire,Non Strata,1025000,1177000,1390000,1278000,249,-4.60%,-11.34%,-23.15%,-39.86%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,The Hills Shire,Strata,700000,794000,845000,780000,48,-0.81%,-2.04%,-36.00%,-52.00%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Waverley,Total,920000,1376000,1988000,1591000,226,-10.94%,-11.23%,-12.74%,-26.38%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Waverley,Non Strata,1913000,2350000,3263000,2618000,67,-9.62%,-22.31%,-25.56%,-38.53%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Waverley,Strata,826000,1070000,1401000,1159000,159,-7.36%,-4.25%,-5.92%,-19.70%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Willoughby,Total,956000,1468000,2186000,1635000,158,-8.27%,-17.43%,-22.93%,-36.80%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Willoughby,Non Strata,1720000,2240000,2840000,2320000,72,0.22%,-4.68%,-20.00%,-49.30%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Willoughby,Strata,788000,998000,1286000,1062000,86,-5.45%,0.00%,-25.22%,-20.37%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Wollondilly,Total,558000,658000,961000,770000,92,-11.14%,-9.92%,-36.99%,-51.83%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Wollondilly,Non Strata,565000,663000,984000,776000,90,-11.67%,-11.67%,-36.17%,-49.72%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Wollondilly,Strata,0,0,0,0,0,0,0,0,0
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Wollongong,Total,550000,673000,802000,697000,438,-1.93%,-3.93%,-29.35%,-47.04%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Wollongong,Non Strata,591000,730000,835000,746000,304,-2.67%,-5.19%,-24.57%,-47.13%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Wollongong,Strata,480000,560000,660000,586000,134,-6.51%,-5.41%,-38.25%,-46.83%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Woollahra,Total,990000,1530000,2610000,2405000,173,-17.74%,-33.48%,-29.39%,-42.90%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Woollahra,Non Strata,2213000,3600000,5675000,4789000,51,-1.23%,-22.58%,-51.89%,-58.54%
2018,Q3,GMR (Greater Metropolitan Region),Total,Total,Woollahra,Strata,941000,1213000,1611000,1409000,122,-12.77%,-17.71%,-12.23%,-32.22%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Total,Total,779000,1090000,1570000,1379000,2247,-6.84%,-12.80%,-23.26%,-39.32%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Total,Non Strata,1345000,1745000,2400000,2190000,676,-9.54%,-16.90%,-27.78%,-46.56%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Total,Strata,715000,880000,1200000,1030000,1571,-4.35%,-8.81%,-21.13%,-35.56%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Inner West,Total,750000,1100000,1400000,1130000,433,-6.78%,-14.40%,-31.60%,-43.03%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Inner West,Non Strata,1191000,1371000,1624000,1437000,232,-6.35%,-10.68%,-28.62%,-46.79%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Inner West,Strata,630000,735000,870000,776000,201,-2.33%,-7.72%,-34.74%,-37.96%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Lane Cove,Total,685000,828000,1555000,1287000,133,-11.02%,-28.04%,-17.39%,-45.49%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Lane Cove,Non Strata,2091000,2650000,3079000,2589000,36,20.45%,-4.68%,-34.55%,-63.27%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Lane Cove,Strata,655000,745000,867000,804000,97,-0.67%,-6.87%,-8.49%,-33.56%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Mosman,Total,843000,1374000,2875000,2206000,106,-30.54%,-18.00%,10.42%,-36.90%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Mosman,Non Strata,2875000,3675000,5375000,4358000,36,-9.93%,-9.26%,-18.18%,-40.00%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Mosman,Strata,751000,900000,1372000,1099000,70,-13.04%,-19.82%,34.62%,-35.19%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,North Sydney,Total,855000,1173000,1718000,1460000,276,-2.82%,-2.29%,-12.10%,-27.94%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,North Sydney,Non Strata,1720000,2278000,3138000,2642000,42,-8.90%,-13.89%,-6.67%,-22.22%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,North Sydney,Strata,821000,1070000,1460000,1247000,234,-4.04%,-5.31%,-13.01%,-28.88%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Randwick,Total,825000,1090000,1620000,1319000,245,-18.96%,-25.21%,-29.19%,-46.74%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Randwick,Non Strata,1588000,1845000,2448000,2025000,88,-16.14%,-22.96%,-34.81%,-55.10%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Randwick,Strata,750000,862000,1050000,923000,157,-4.75%,-9.14%,-25.59%,-40.53%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Sydney,Total,708000,955000,1250000,1072000,655,0.53%,-7.06%,-25.06%,-39.24%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Sydney,Non Strata,1150000,1411000,1800000,1516000,124,-7.20%,-15.79%,-8.82%,-34.39%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Sydney,Strata,675000,850000,1125000,968000,531,-4.17%,-5.56%,-28.05%,-40.27%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Waverley,Total,920000,1376000,1988000,1591000,226,-10.94%,-11.23%,-12.74%,-26.38%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Waverley,Non Strata,1913000,2350000,3263000,2618000,67,-9.62%,-22.31%,-25.56%,-38.53%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Waverley,Strata,826000,1070000,1401000,1159000,159,-7.36%,-4.25%,-5.92%,-19.70%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Woollahra,Total,990000,1530000,2610000,2405000,173,-17.74%,-33.48%,-29.39%,-42.90%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Woollahra,Non Strata,2213000,3600000,5675000,4789000,51,-1.23%,-22.58%,-51.89%,-58.54%
2018,Q3,GMR (Greater Metropolitan Region),Total,Inner Ring,Woollahra,Strata,941000,1213000,1611000,1409000,122,-12.77%,-17.71%,-12.23%,-32.22%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Total,Total,660000,840000,1201000,1029000,2926,-2.33%,-5.19%,-32.61%,-50.91%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Total,Non Strata,882000,1185000,1651000,1374000,1372,-5.20%,-13.50%,-27.48%,-47.17%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Total,Strata,570000,679000,820000,725000,1554,-3.00%,-3.96%,-36.57%,-53.80%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Bayside,Total,669000,800000,1024000,889000,326,-1.23%,-3.54%,-34.14%,-55.34%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Bayside,Non Strata,1008000,1195000,1388000,1219000,111,-8.43%,-14.03%,-17.16%,-47.89%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Bayside,Strata,620000,700000,808000,719000,215,-3.45%,-4.11%,-40.44%,-58.41%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Burwood,Total,706000,1040000,1493000,1137000,72,22.35%,10.73%,-17.24%,-47.83%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Burwood,Non Strata,1198000,1500000,1798000,1515000,35,1.69%,-5.96%,16.67%,-18.60%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Burwood,Strata,600000,750000,930000,779000,37,-3.35%,-14.09%,-35.09%,-61.05%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Canada Bay,Total,800000,990000,1450000,1194000,193,-13.91%,-19.25%,-34.13%,-42.39%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Canada Bay,Non Strata,1455000,1705000,2138000,1873000,54,-7.84%,-16.83%,-43.16%,-56.10%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Canada Bay,Strata,750000,880000,1030000,930000,139,-7.73%,-7.85%,-29.80%,-34.43%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Canterbury-Bankstown,Total,580000,750000,902000,762000,518,-5.81%,-11.76%,-33.42%,-52.48%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Canterbury-Bankstown,Non Strata,784000,870000,1010000,914000,308,-5.95%,-15.94%,-31.71%,-52.17%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Canterbury-Bankstown,Strata,446000,530000,629000,540000,210,-6.19%,-9.72%,-35.78%,-52.91%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Cumberland,Total,550000,678000,800000,689000,312,-0.88%,-5.83%,-32.61%,-56.67%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Cumberland,Non Strata,731000,800000,885000,823000,165,-4.65%,-12.09%,-27.95%,-51.61%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Cumberland,Strata,480000,550000,590000,538000,147,-2.65%,-7.56%,-37.18%,-61.21%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Georges River,Total,711000,930000,1200000,1016000,246,3.45%,-1.69%,-40.00%,-48.10%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Georges River,Non Strata,1000000,1178000,1487000,1266000,136,-7.68%,-17.37%,-32.00%,-39.82%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Georges River,Strata,630000,695000,793000,708000,110,0.72%,-0.71%,-47.62%,-55.65%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Hunters Hill,Total,889000,1651000,2875000,1982000,20,-4.84%,-7.25%,-25.00%,-40.00%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Hunters Hill,Non Strata,2190000,2875000,3625000,2994000,20,16.75%,4.53%,-25.00%,-37.50%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Hunters Hill,Strata,670000,877000,1293000,970000,20,-25.36%,1.45%,-25.00%,-42.31%
2018,Q3,GMR (Greater Metropolitan Region),Total,Middle Ring,Ku-Ring-Gai,Total,1094000,1645000,2208000,1722000,288,-3.24%,-5.41%,-20.44%,-41.46%
